"","peaknum_a","mz","rt","rtmin","rtmax","match_mz","n_carbons","adduct","iso","charge","maxo"
"peaknum",3569,71.0148720043593,836.138,818.177,854.1,74.0252067362413,3,0,0,1,26066.48828125
"peaknum",7469,85.0669228675836,1677.36,1663.39,1690.33,90.0838225110503,5,NA,NA,1,1612.24597167969
"peaknum",7514,85.0310015780068,1695.32,1683.34,1710.29,89.0440239754411,4,NA,NA,1,3555.71997070312
"peaknum",7601,85.0306185060063,1695.32,1683.34,1710.29,89.0440239754411,4,NA,NA,1,3555.71997070312
"peaknum",3924,88.0416775284211,1026.73,1013.76,1042.7,91.0515552268644,3,NA,NA,1,17806.38671875
"peaknum",3973,89.0256401686833,836.138,818.177,854.1,92.0357488114895,3,NA,NA,1,71175.5390625
"peaknum",2455,95.0153757836552,837.136,824.164,858.091,100.032012731216,5,NA,NA,1,2752.06176757812
"peaknum",3788,99.0098814070398,997.797,983.827,1013.76,103.023289645493,4,NA,NA,1,11077.8486328125
"peaknum",3498,100.005212858203,919.959,910.979,938.919,102.011951970234,2,NA,NA,1,3180.58154296875
"peaknum",6100,102.057398660833,1466.8,1441.85,1491.75,105.067352914025,3,NA,NA,1,7933.80517578125
"peaknum",7439,103.041111214856,1667.38,1659.39,1683.34,107.054698394666,4,NA,NA,1,2436.53125
"peaknum",3882,103.04134865304,1036.71,1009.77,1047.69,107.054392762258,4,NA,NA,1,1262.265625
"peaknum",5869,105.020508314586,1310.14,1291.18,1332.09,108.030747218365,3,NA,NA,1,6708.6689453125
"peaknum",2662,107.036552740489,837.136,816.181,861.085,110.046445089605,3,NA,NA,1,4096.04248046875
"peaknum",1448,109.04203228427,748.326,733.358,764.292,114.058778946864,5,NA,NA,1,6803.05029296875
"peaknum",807,111.021152220805,281.817,249.386,316.243,115.034855232187,4,0,NA,1,158242.078125
"peaknum",7629,113.062176010553,1698.31,1664.38,1717.27,119.082141175668,6,NA,NA,1,4686.6845703125
"peaknum",3745,114.057451900158,981.831,974.846,995.802,119.074102709097,5,NA,NA,1,2001.49401855469
"peaknum",7509,115.041260469021,1676.36,1665.38,1693.32,120.057994229481,5,NA,NA,1,5570.19482421875
"peaknum",3596,116.072963736195,919.959,911.976,932.932,121.089593613115,5,0,NA,1,15078.119140625
"peaknum",7480,117.020678493396,1677.36,1662.39,1692.32,121.033967707948,4,NA,NA,1,3886.4150390625
"peaknum",5409,122.025634268742,1159.46,1146.48,1202.37,128.045601092127,6,NA,NA,1,1862.05822753906
"peaknum",689,125.036717230247,196.495,176.538,223.437,130.053636789799,5,0,0,1,87884.6171875
"peaknum",6096,128.036644603562,1466.8,1453.83,1481.77,133.053352346737,5,NA,NA,1,4368.212890625
"peaknum",7464,129.020654398173,1667.38,1657.39,1680.35,134.037232673156,5,NA,NA,1,8189.14306640625
"peaknum",7635,129.020716842597,1695.32,1681.35,1711.28,134.037246127193,5,NA,NA,1,9337.685546875
"peaknum",9021,129.020733761157,2047.57,2032.6,2063.53,133.034297919105,4,NA,NA,1,3603.51831054688
"peaknum",5612,129.039813613032,1222.32,1213.34,1231.3,133.053251540674,4,NA,NA,1,1583.16223144531
"peaknum",7296,130.052568617878,1650.41,1645.42,1656.4,135.069030520925,5,NA,NA,1,2085.2666015625
"peaknum",3166,130.088404037752,878.049,870.066,889.025,136.108862158823,6,NA,NA,1,20245
"peaknum",7476,131.072549572963,1678.35,1669.37,1691.33,137.092775881884,6,NA,NA,1,1110.7177734375
"peaknum",3791,131.036471410626,997.797,989.814,1013.76,135.049572443178,4,NA,NA,1,8032.65625
"peaknum",7555,132.031320145741,1686.34,1679.35,1697.31,136.04501366978,4,NA,NA,1,5866.7861328125
"peaknum",3720,133.051884106579,954.889,941.913,969.857,138.068782394751,5,0,NA,1,86618.53125
"peaknum",1418,133.045382576561,736.351,692.445,751.319,138.061757026057,5,0,0,1,2188.88452148438
"peaknum",9409,134.048186502715,2238.16,2229.18,2254.13,139.065033290653,5,NA,NA,1,1908.54211425781
"peaknum",1300,138.062069604015,663.507,625.588,695.439,139.065250222433,1,0,0,1,3342.34594726562
"peaknum",1432,138.061757026057,736.351,728.368,754.313,139.065165441619,1,0,0,1,4111.1455078125
"peaknum",7610,143.036081182415,1696.32,1670.37,1725.25,149.056162335333,6,NA,NA,1,3779.28125
"peaknum",3160,143.036429509056,836.138,817.179,854.1,149.056173481839,6,NA,NA,1,14516.1220703125
"peaknum",6253,146.047316548231,1466.8,1452.83,1482.77,151.063990321819,5,0,NA,1,78345.75
"peaknum",3761,147.067531194911,981.831,969.857,996.799,153.087637762252,6,0,0,1,11573.2783203125
"peaknum",3392,147.067437944242,912.974,905.989,927.942,153.087601326062,6,0,0,1,33998.84375
"peaknum",7719,147.031226054625,1672.37,1653.4,1695.32,152.047915560214,5,NA,NA,1,63931.40625
"peaknum",3608,148.045037409672,952.339372670001,945.904,961.874,153.061656193087,5,NA,NA,1,2114.388671875
"peaknum",7686,157.051950854146,1698.31,1684.34,1714.28,164.075309274927,7,0,0,1,19675.244140625
"peaknum",1452,157.063097088852,748.326,739.345,764.292,163.083110766174,6,0,NA,1,13196.259765625
"peaknum",5515,159.078640369386,1180.41,1170.43,1197.38,165.099163550254,6,NA,NA,1,5067.26708984375
"peaknum",3345,161.046807784462,836.138,818.177,854.1,167.067230169831,6,0,0,1,28651.15234375
"peaknum",3230,161.083243365653,886.032,880.045,901,167.10359498519,6,0,NA,1,12480.837890625
"peaknum",7625,161.046836097708,1676.36,1662.39,1693.32,167.067133357038,6,0,0,1,18492.015625
"peaknum",3533,164.073189374259,932.932,927.942,948.902,173.103266401117,9,NA,NA,1,6836.04052734375
"peaknum",6086,168.028803571738,1466.8,1452.83,1478.78,173.045986465961,5,NA,NA,1,1822.95092773438
"peaknum",7721,171.007541655192,1712.28,1704.3,1726.25,174.017562616724,3,0,NA,1,12014.7431640625
"peaknum",5400,171.029008897023,1129.52,1112.56,1145.49,174.039314048677,3,0,0,1,11432.0068359375
"peaknum",3362,171.140138797078,881.042,865.077,897.008,181.173915929374,10,0,0,1,17181.568359375
"peaknum",9013,173.010799492886,2046.08357681093,2042.58,2051.56,178.027477925789,5,NA,NA,1,7085.55810546875
"peaknum",3382,173.046679822837,916.966,910.979,927.942,180.070337439748,7,NA,NA,1,8358.6005859375
"peaknum",7362,174.042172373771,1649.41,1640.43,1662.39,179.058933697568,5,NA,NA,1,29397.544921875
"peaknum",7532,175.062059149154,1677.00249872255,1665.38,1692.32,182.086276182262,7,0,0,1,81746.7109375
"peaknum",3353,179.057742382968,836.138,818.177,854.1,185.077917142697,6,0,0,1,231746.015625
"peaknum",3932,180.067473527901,1038.71,1033.72,1051.68,189.098104869506,9,NA,NA,1,6975.314453125
"peaknum",3849,184.029891819628,1026.73,1020.75,1033.72,187.039865882539,3,NA,NA,1,1644.76025390625
"peaknum",9012,184.987090829226,2037.59,2030.61,2052.56,187.997144437194,3,NA,NA,1,5510.86572265625
"peaknum",7105,185.05810655204,1627.46,1621.47,1634.44,190.074903317136,5,NA,NA,1,3108.5556640625
"peaknum",5701,187.073598921059,1265.23,1256.25,1275.21,194.097014573047,7,NA,NA,1,1549.00134277344
"peaknum",7195,188.058081230609,1642.43,1634.44,1652.4,195.081470443361,7,NA,NA,1,6952.14794921875
"peaknum",9062,191.021198401402,2031.6,2014.64,2047.57,197.041213026955,6,NA,NA,1,28773.208984375
"peaknum",7533,191.05732576113,1684.34,1665.38,1705.3,198.08103586024,7,NA,NA,1,2186.64770507812
"peaknum",3095,197.156238985826,870.066,857.094,883.038,209.197098910024,12,NA,NA,1,2048.09521484375
"peaknum",7602,199.002870146285,1692.32,1686.34,1708.29,202.012845640957,3,NA,NA,1,2650.66650390625
"peaknum",3652,199.171867396728,865.077,848.113,881.042,211.212176505438,12,0,NA,1,84493.65625
"peaknum",5947,207.052263576151,1385.97,1376.99,1401.94,213.073019569432,6,NA,NA,1,9138.8369140625
"peaknum",3773,215.03450701874,706.415,691.447,730.364,221.054743627737,6,NA,NA,1,12357.84765625
"peaknum",5155,215.034395847044,1090.6,1027.73,1158.46,221.054446656071,6,0,NA,1,5831.42138671875
